,game_id,home_team,away_team,home_score,away_score
329,2015020319,NYI,PHI,3,1
330,2015020325,DET,BOS,2,3
331,2015020326,T.B,L.A,2,1
332,2015020327,ARI,ANA,4,2
333,2015020328,COL,OTT,3,5
334,2015020329,S.J,CHI,2,5
335,2015020330,BOS,NYR,4,3
336,2015020331,PHI,NSH,3,2
337,2015020332,MIN,WPG,1,3
338,2015020333,ANA,CHI,2,3
339,2015020334,WSH,T.B,4,2
340,2015020335,BUF,CAR,4,1
341,2015020336,N.J,MTL,2,3
342,2015020337,CBJ,PIT,2,1
343,2015020338,DET,EDM,4,3
344,2015020339,FLA,NYI,3,2
345,2015020340,DAL,VAN,3,2
346,2015020341,ARI,CGY,2,1
347,2015020342,NYR,PHI,0,3
348,2015020343,TOR,WSH,2,4
349,2015020344,MTL,N.J,2,3
350,2015020345,T.B,NYI,2,3
351,2015020346,PIT,EDM,2,3
352,2015020347,STL,CBJ,3,1
353,2015020348,NSH,BUF,1,4
354,2015020349,MIN,DAL,3,4
355,2015020352,S.J,CGY,5,2
356,2015020350,COL,WPG,5,3
357,2015020351,ARI,OTT,4,3
358,2015020353,L.A,CHI,3,2
359,2015020354,DET,FLA,1,2
360,2015020355,NYI,COL,5,3
361,2015020356,NYR,CAR,4,3
362,2015020357,TOR,EDM,3,0
363,2015020358,ANA,VAN,4,0
364,2015020359,N.J,COL,1,2
365,2015020360,MTL,CBJ,2,1
366,2015020361,OTT,PHI,2,4
367,2015020362,DET,BUF,5,4
368,2015020363,STL,FLA,1,3
369,2015020363,STL,FLA,1,3
370,2015020364,NSH,ARI,5,2
371,2015020365,CHI,MIN,1,2
372,2015020366,CGY,DAL,4,3
373,2015020367,L.A,VAN,2,1
374,2015020368,S.J,PIT,1,5
375,2015020369,WPG,TOR,6,1
376,2015020370,NYI,NYR,2,1
377,2015020371,EDM,BOS,3,2
378,2015020372,ANA,T.B,1,2
379,2015020373,NYR,COL,1,2
380,2015020374,CAR,N.J,1,5
381,2015020375,MTL,WSH,2,3
382,2015020376,OTT,CHI,4,3
383,2015020377,DET,ARI,5,1
384,2015020378,NSH,FLA,1,2
385,2015020379,MIN,TOR,1,0
386,2015020380,VAN,DAL,2,4
387,2015020381,BUF,ARI,5,2
388,2015020382,N.J,PHI,3,4
389,2015020383,CBJ,FLA,1,2
390,2015020384,NYI,STL,2,1
391,2015020385,CGY,BOS,5,4
392,2015020386,EDM,DAL,2,1
393,2015020387,ANA,S.J,1,0
394,2015020388,WPG,WSH,2,1
