,Shots X coordinates,Shots Y coordinates,Goals X coordinates,Goals Y coordinates
376,74.0,-8.0,,
377,38.0,29.0,,
378,77.0,-2.0,,
379,75.0,35.0,,
380,32.0,10.0,,
381,65.0,-19.0,,
382,73.0,-7.0,,
383,36.0,-19.0,,
384,85.0,20.0,,
385,81.0,6.0,,
386,77.0,1.0,,
387,86.0,5.0,,
388,12.0,-38.0,,
389,81.0,8.0,,
390,80.0,0.0,,
391,85.0,-15.0,,
392,70.0,12.0,,
393,36.0,-15.0,,
394,68.0,39.0,,
395,61.0,3.0,,
396,71.0,-0.0,,
397,78.0,-1.0,,
398,71.0,-0.0,,
399,73.0,-30.0,,
400,72.0,2.0,,
401,70.0,-31.0,,
402,69.0,20.0,,
403,68.0,-8.0,,
404,78.0,-14.0,,
405,50.0,-32.0,,
406,15.0,-16.0,,
407,82.0,8.0,,
408,61.0,26.0,,
409,50.0,-2.0,,
410,72.0,1.0,,
411,79.0,-6.0,,
412,76.0,1.0,,
413,59.0,5.0,,
414,64.0,26.0,,
415,78.0,-7.0,,
416,75.0,-33.0,,
417,48.0,-30.0,,
418,34.0,26.0,,
419,61.0,33.0,,
420,69.0,17.0,,
421,64.0,-0.0,,
422,67.0,3.0,,
423,38.0,-29.0,,
424,65.0,16.0,,
425,39.0,2.0,,
426,67.0,-39.0,,
427,77.0,-3.0,,
428,78.0,-1.0,,
429,61.0,-18.0,,
430,62.0,25.0,,
431,50.0,-17.0,,
432,72.0,-4.0,,
433,61.0,16.0,,
434,82.0,-23.0,,
435,44.0,-13.0,,
436,7.0,21.0,,
437,41.0,-10.0,,
438,41.0,11.0,,
439,41.0,35.0,,
440,59.0,11.0,,
441,77.0,-12.0,,
442,38.0,25.0,,
443,37.0,27.0,,
444,77.0,16.0,,
445,76.0,21.0,,
446,64.0,18.0,,
447,74.0,-4.0,,
448,83.0,-5.0,,
449,63.0,4.0,,
450,69.0,-13.0,,
451,69.0,-10.0,,
452,44.0,36.0,,
453,78.0,2.0,,
454,65.0,-21.0,,
455,80.0,-17.0,,
456,66.0,8.0,,
457,80.0,-3.0,,
458,59.0,-5.0,,
459,32.0,31.0,,
460,33.0,-11.0,,
461,72.0,2.0,,
462,34.0,-20.0,,
463,43.0,12.0,,
464,67.0,14.0,,
465,37.0,-33.0,,
466,68.0,-7.0,,
467,34.0,-39.0,,
468,79.0,15.0,,
469,84.0,-9.0,,
470,82.0,-11.0,,
471,74.0,-24.0,,
472,32.0,20.0,,
473,47.0,-32.0,,
474,88.0,7.0,,
475,80.0,-23.0,,
476,58.0,2.0,,
