date_of_fight,idk_column,player1_name,player1_team,player2_name,player2_team,winner
11/05/09,2 Pd 8:45,David Backes,STL,Robyn Regehr,CAL,Voted winner: Robyn Regehr (31.8%) - Voted rating: 1.94
11/05/09,2 Pd 20:0,Matt Carkner,OTT,Ryan Craig,TBL,Voted winner: Matt Carkner (31.7%) - Voted rating: 2.41
11/05/09,2 Pd 14:12,Chris Neil,OTT,Steve Downie,TBL,Voted winner: Chris Neil (82%) - Voted rating: 3.46
11/04/09,2 Pd 17:52,Rod Pelley,NJD,Chris Clark,WAS,Voted winner: Rod Pelley (40.4%) - Voted rating: 3.32
11/04/09,1 Pd 13:42,Jared Boll,CBJ,Kent Huskins,SJS,Voted winner: Jared Boll (97%) - Voted rating: 5.24
11/04/09,2 Pd 15:23,Jared Boll,CBJ,Brad Staubitz,SJS,Voted winner: Brad Staubitz (32.7%) - Voted rating: 3.83
11/03/09,3 Pd 18:50,Tanner Glass,VAN,Dane Byers,NYR,Voted winner: Tanner Glass (71.7%) - Voted rating: 4.72
11/03/09,1 Pd 14:40,Niklas Hagman,TOR,Lukas Krajicek,TBL,Voted winner: Lukas Krajicek (30.2%) - Voted rating: 2.91
11/02/09,1 Pd 2:36,Paul Bissonnette,ARI,Raitis Ivanans,LAK,Voted winner: Raitis Ivanans (36.3%) - Voted rating: 4.21
11/02/09,1 Pd 18:36,Andy Sutton,NYI,Jean-Francois Jacques,EDM,Voted winner: Andy Sutton (64.7%) - Voted rating: 3.91
11/02/09,2 Pd 3:27,Arron Asham,PHI,Zenon Konopka,TBL,Voted winner: Arron Asham (37.1%) - Voted rating: 3.83
10/31/09,1 Pd 7:28,Keith Yandle,ARI,James Wisniewski,ANA,Voted winner: James Wisniewski (91.7%) - Voted rating: 3.93
10/31/09,2 Pd 0:47,Shane Doan,ARI,James Wisniewski,ANA,Voted winner: Shane Doan (73%) - Voted rating: 4.74
10/31/09,1 Pd 16:58,Paul Bissonnette,ARI,George Parros,ANA,Voted winner: Paul Bissonnette (31.5%) - Voted rating: 3.44
10/31/09,2 Pd 16:38,Sidney Crosby,PIT,Marek Zidlicky,MIN,Voted winner: Sidney Crosby (76.2%) - Voted rating: 4.24
10/31/09,2 Pd 3:4,Tim Jackman,NYI,Steve Montador,BUF,Voted winner: Steve Montador (50%) - Voted rating: 4.33
