date_of_fight,idk_column,player1_name,player1_team,player2_name,player2_team,winner
01/21/01,2 Pd 13:57,Marc Moro,NSH,Reid Simpson,STL,Voted winner: Draw (50%) - Voted rating: 0
01/21/01,1 Pd 3:23,Kevin Sawyer,ANA,Scott Parker,COL,Voted winner: Scott Parker (100%) - Voted rating: 6
01/21/01,1 Pd 8:48,Darcy Hordichuk,ATL,Steve Webb,NYI,Voted winner: Darcy Hordichuk (100%) - Voted rating: 6
01/21/01,1 Pd 17:58,Jarome Iginla,CAL,Brendan Shanahan,DET,Voted winner: Brendan Shanahan (50%) - Voted rating: 6.5
01/20/01,2 Pd 15:9,Luke Richardson,PHI,John Jakopin,FLA,Voted winner: Draw (50%) - Voted rating: 0
01/20/01,2 Pd 6:31,Todd Fedoruk,PHI,Joey Tetarenko,FLA,Voted winner: Draw (50%) - Voted rating: 0
01/20/01,2 Pd 6:29,Daymond Langkow,PHI,Lance Pitlick,FLA,Voted winner: Draw (50%) - Voted rating: 0
01/20/01,3 Pd 6:18,Wade Redden,OTT,Wayne Primeau,TBL,Voted winner: Draw (50%) - Voted rating: 0
01/20/01,1 Pd 5:45,Shane Hnidy,OTT,Gordie Dwyer,TBL,Voted winner: Draw (50%) - Voted rating: 0
01/20/01,2 Pd 3:14,Rick Tocchet,PHI,Lance Ward,FLA,Voted winner: Draw (50%) - Voted rating: 5
01/20/01,3 Pd 18:43,Darcy Tucker,TOR,Rob Ray,BUF,Voted winner: Rob Ray (100%) - Voted rating: 4
01/20/01,3 Pd 11:26,Jason Smith,EDM,Brendan Shanahan,DET,Voted winner: Brendan Shanahan (100%) - Voted rating: 8
01/20/01,2 Pd 18:3,Bates Battaglia,CAR,Rob Blake,LAK,Voted winner: Rob Blake (100%) - Voted rating: 7
01/19/01,2 Pd 4:24,Sylvain Blouin,MIN,Steve Webb,NYI,Voted winner: Sylvain Blouin (100%) - Voted rating: 5
01/19/01,1 Pd 9:26,Sami Helenius,DAL,Steve McKenna,PIT,Voted winner: Draw (50%) - Voted rating: 0
01/18/01,2 Pd 0:24,Rick Berry,COL,Jarkko Ruutu,VAN,Voted winner: Draw (50%) - Voted rating: 0
01/18/01,3 Pd 8:47,Chris McAllister,PHI,Jim McKenzie,NJD,Voted winner: Draw (50%) - Voted rating: 0
01/18/01,1 Pd 7:29,Darren Langdon,CAR,Andrei Nazarov,BOS,Voted winner: Draw (50%) - Voted rating: 0
01/18/01,3 Pd 9:27,P.J. Stock,PHI,Colin White,NJD,Voted winner: Colin White (50%) - Voted rating: 5.5
01/18/01,1 Pd 11:36,P.J. Stock,PHI,Turner Stevenson,NJD,Voted winner: Draw (50%) - Voted rating: 8
01/17/01,3 Pd 8:0,Scott Thornton,SJS,Clarke Wilm,CAL,Voted winner: Draw (50%) - Voted rating: 0
01/17/01,2 Pd 10:18,Ryan VandenBussche,CHI,Joey Tetarenko,FLA,Voted winner: Draw (50%) - Voted rating: 0
01/16/01,1 Pd 8:41,Jim McKenzie,NJD,Andrei Nazarov,BOS,Voted winner: Draw (50%) - Voted rating: 0
01/15/01,1 Pd 5:14,Tyler Wright,CBJ,Cam Stewart,MIN,Voted winner: Tyler Wright (33.3%) - Voted rating: 4
01/15/01,2 Pd 15:40,Scott Thornton,SJS,Jiri Fischer,DET,Voted winner: Scott Thornton (88.9%) - Voted rating: 7.44
01/15/01,1 Pd 9:43,Bryan Marchment,SJS,Darren McCarty,DET,Voted winner: Draw (50%) - Voted rating: 7
01/15/01,1 Pd 3:43,Brad May,ARI,Reed Low,STL,Voted winner: Reed Low (50%) - Voted rating: 5.5
01/15/01,1 Pd 12:9,Steve McKenna,PIT,Kevin Sawyer,ANA,Voted winner: Steve McKenna (100%) - Voted rating: 7
01/14/01,1 Pd 5:56,Ryan VandenBussche,CHI,Chris Dingman,COL,Voted winner: Draw (50%) - Voted rating: 0
01/14/01,3 Pd 19:52,Niclas Wallin,CAR,Jason Marshall,ANA,Voted winner: Draw (50%) - Voted rating: 0
01/14/01,1 Pd 11:29,Rich Pilon,NYR,Matt Johnson,MIN,Voted winner: Draw (50%) - Voted rating: 3
01/14/01,2 Pd 2:25,Dale Purinton,NYR,Sylvain Blouin,MIN,Voted winner: Draw (50%) - Voted rating: 2
01/14/01,2 Pd 16:35,Dale Purinton,NYR,Sylvain Blouin,MIN,Voted winner: Draw (50%) - Voted rating: 3
01/13/01,1 Pd 1:6,Colin White,NJD,Shayne Corson,TOR,Voted winner: Draw (50%) - Voted rating: 6
01/13/01,3 Pd 13:34,Brendan Witt,WAS,Jeff Odgers,ATL,Voted winner: Brendan Witt (100%) - Voted rating: 7
01/13/01,3 Pd 15:2,Olli Jokinen,FLA,Daymond Langkow,PHI,Voted winner: Draw (50%) - Voted rating: 0
01/13/01,3 Pd 19:43,Steve Konowalchuk,WAS,Steve Staios,ATL,Voted winner: Draw (50%) - Voted rating: 0
01/13/01,1 Pd 12:53,Peter Worrell,FLA,Todd Fedoruk,PHI,Voted winner: Draw (50%) - Voted rating: 6.5
01/12/01,3 Pd 11:45,Jim Cummins,ANA,Eric Boulton,BUF,Voted winner: Draw (50%) - Voted rating: 7
01/12/01,3 Pd 18:36,Stephen Guolla,ATL,Jason Ward,MON,Voted winner: Jason Ward (100%) - Voted rating: 5
01/12/01,3 Pd 18:44,Matthew Barnaby,PIT,Zdeno Chara,NYI,Voted winner: Draw (50%) - Voted rating: 1
01/12/01,3 Pd 14:55,Jason Marshall,ANA,Denis Hamel,BUF,Voted winner: Draw (50%) - Voted rating: 0
01/12/01,1 Pd 3:35,Shean Donovan,ATL,Arron Asham,MON,Voted winner: Draw (50%) - Voted rating: 0
01/12/01,1 Pd 1:45,Chris Tamer,ATL,Gino Odjick,MON,Voted winner: Draw (50%) - Voted rating: 0
01/12/01,3 Pd 7:53,Cam Stewart,MIN,Rick Berry,COL,Voted winner: Draw (50%) - Voted rating: 1
01/11/01,2 Pd 11:26,Jeff Cowan,CAL,Scott Hartnell,NSH,Voted winner: Scott Hartnell (100%) - Voted rating: 6
01/11/01,1 Pd 5:25,Paul Kruse,SJS,Reed Low,STL,Voted winner: Draw (50%) - Voted rating: 5
01/11/01,3 Pd 2:6,Stephane Matteau,SJS,Jamal Mayers,STL,Voted winner: Draw (50%) - Voted rating: 0
01/10/01,3 Pd 1:58,Tony Hrkac,ANA,Pierre Turgeon,STL,Voted winner: Tony Hrkac (100%) - Voted rating: 3
01/10/01,2 Pd 16:50,Jean-Luc Grand-Pierre,CBJ,Scott Parker,COL,Voted winner: Jean-Luc Grand-Pierre (50%) - Voted rating: 5
01/10/01,2 Pd 16:46,Steve Staios,ATL,Brenden Morrow,DAL,Voted winner: Draw (50%) - Voted rating: 0
01/09/01,2 Pd 13:39,Darren Langdon,CAR,Peter Worrell,FLA,Voted winner: Draw (50%) - Voted rating: 0
01/09/01,2 Pd 13:19,David Tanabe,CAR,Marcus Nilson,FLA,Voted winner: Draw (50%) - Voted rating: 0
01/09/01,2 Pd 7:26,Rob DiMaio,CAR,Serge Payer,FLA,Voted winner: Draw (50%) - Voted rating: 0
01/08/01,1 Pd 18:50,Todd Reirden,STL,P.J. Stock,PHI,Voted winner: P.J. Stock (100%) - Voted rating: 5
01/08/01,2 Pd 3:43,Dale Purinton,NYR,Grant Marshall,DAL,Voted winner: Draw (50%) - Voted rating: 0
01/07/01,3 Pd 1:7,Georges Laraque,EDM,Lyle Odelein,CBJ,Voted winner: Draw (50%) - Voted rating: 0
01/06/01,1 Pd 17:54,Kelly Buchberger,LAK,Derek Morris,CAL,Voted winner: Draw (50%) - Voted rating: 0
01/06/01,1 Pd 13:16,Shane Hnidy,OTT,Arron Asham,MON,Voted winner: Draw (50%) - Voted rating: 0
01/06/01,2 Pd 6:58,Andre Roy,OTT,Gino Odjick,MON,Voted winner: Andre Roy (33.3%) - Voted rating: 4.33
01/06/01,1 Pd 8:16,Andrei Nazarov,BOS,Sami Helenius,DAL,Voted winner: Sami Helenius (100%) - Voted rating: 3
01/06/01,3 Pd 3:40,Manny Malhotra,NYR,Ken Daneyko,NJD,Voted winner: Manny Malhotra (100%) - Voted rating: 6.4
01/06/01,3 Pd 19:11,Stu Grimson,LAK,Wade Belak,CAL,Voted winner: Draw (50%) - Voted rating: 0
01/06/01,2 Pd 18:17,Stu Grimson,LAK,Wade Belak,CAL,Voted winner: Draw (50%) - Voted rating: 0
01/06/01,1 Pd 17:54,Ian Laperriere,LAK,Jeff Cowan,CAL,Voted winner: Draw (50%) - Voted rating: 0
01/06/01,3 Pd 14:43,Jamal Mayers,STL,Sean O'Donnell,MIN,Voted winner: Draw (50%) - Voted rating: 1
01/06/01,2 Pd 20:0,Jamal Mayers,STL,Sean O'Donnell,MIN,Voted winner: Draw (50%) - Voted rating: 1
01/06/01,2 Pd 19:56,Tyson Nash,STL,Wes Walz,MIN,Voted winner: Wes Walz (50%) - Voted rating: 3
01/06/01,1 Pd 2:14,Sandy McCarthy,NYR,Jim McKenzie,NJD,Voted winner: Sandy McCarthy (100%) - Voted rating: 8
01/06/01,1 Pd 12:4,Sandy McCarthy,NYR,Jim McKenzie,NJD,Voted winner: Draw (50%) - Voted rating: 8
01/05/01,2 Pd 13:26,Steve Staios,ATL,Todd Fedoruk,PHI,Voted winner: Draw (50%) - Voted rating: 0
01/05/01,2 Pd 2:31,Ladislav Kohn,ANA,Bill Lindsay,CAL,Voted winner: Draw (50%) - Voted rating: 0
01/05/01,2 Pd 4:31,Jeff Odgers,ATL,Todd Fedoruk,PHI,Voted winner: Todd Fedoruk (100%) - Voted rating: 5
01/05/01,1 Pd 8:4,Matthew Barnaby,PIT,Arron Asham,MON,Voted winner: Matthew Barnaby (40%) - Voted rating: 6
01/04/01,2 Pd 7:23,Darren McCarty,DET,Gerald Diduck,DAL,Voted winner: Draw (50%) - Voted rating: 0
01/04/01,1 Pd 16:55,Shane Doan,ARI,Rich Pilon,NYR,Voted winner: Draw (50%) - Voted rating: 0
01/04/01,1 Pd 3:56,Brad May,ARI,Sandy McCarthy,NYR,Voted winner: Draw (50%) - Voted rating: 0
01/04/01,3 Pd 12:47,Aaron Ward,DET,Mike Keane,DAL,Voted winner: Draw (50%) - Voted rating: 0
01/03/01,1 Pd 18:26,Andy Sutton,MIN,Denny Lambert,ATL,Voted winner: Draw (50%) - Voted rating: 1
01/03/01,2 Pd 5:28,Jamie Pushor,CBJ,Georges Laraque,EDM,Voted winner: Draw (50%) - Voted rating: 0
01/03/01,2 Pd 12:38,Vitaly Vishnevski,ANA,Marcus Nilson,FLA,Voted winner: Marcus Nilson (100%) - Voted rating: 5
01/02/01,1 Pd 18:20,Chris Dingman,COL,Stu Grimson,LAK,Voted winner: Draw (50%) - Voted rating: 0
01/02/01,3 Pd 1:40,Ray Schultz,NYI,Gino Odjick,MON,Voted winner: Draw (50%) - Voted rating: 0
01/02/01,3 Pd 10:21,Turner Stevenson,NJD,P.J. Stock,PHI,Voted winner: Draw (50%) - Voted rating: 0
01/02/01,1 Pd 13:3,Adam Deadmarsh,COL,Ian Laperriere,LAK,Voted winner: Draw (50%) - Voted rating: 0
01/01/01,1 Pd 12:1,Landon Wilson,ARI,Mark Smith,SJS,Voted winner: Draw (50%) - Voted rating: 0
01/01/01,2 Pd 19:53,Bryce Salvador,STL,Ethan Moreau,EDM,Voted winner: Draw (50%) - Voted rating: 0
12/31/00,1 Pd 16:34,Kyle Freadrich,TBL,Tie Domi,TOR,Voted winner: Tie Domi (100%) - Voted rating: 5
12/31/00,1 Pd 3:7,Darren Langdon,CAR,Jamie Allison,CHI,Voted winner: Draw (50%) - Voted rating: 0
12/30/00,1 Pd 15:33,Ray Schultz,NYI,Rob Ray,BUF,Voted winner: Draw (50%) - Voted rating: 0
12/29/00,3 Pd 14:20,Alex Tanguay,COL,Alexandre Boikov,NSH,Voted winner: Alexandre Boikov (100%) - Voted rating: 6.29
12/29/00,3 Pd 16:33,Jeff Cowan,CAL,Jason Strudwick,VAN,Voted winner: Draw (50%) - Voted rating: 0
12/29/00,1 Pd 17:50,Jason Wiemer,CAL,Ed Jovanovski,VAN,Voted winner: Draw (50%) - Voted rating: 0
12/29/00,1 Pd 2:56,Rhett Warrener,BUF,Andre Roy,OTT,Voted winner: Andre Roy (100%) - Voted rating: 6
12/29/00,2 Pd 20:0,Olli Jokinen,FLA,Andrei Kovalenko,BOS,Voted winner: Draw (50%) - Voted rating: 0
12/29/00,3 Pd 17:56,John Jakopin,FLA,Andrei Nazarov,BOS,Voted winner: Andrei Nazarov (100%) - Voted rating: 5
12/29/00,2 Pd 5:35,Clarke Wilm,CAL,Murray Baron,VAN,Voted winner: Draw (50%) - Voted rating: 0
12/28/00,2 Pd 12:24,Kyle Freadrich,TBL,Luke Richardson,PHI,Voted winner: Draw (50%) - Voted rating: 0
12/28/00,3 Pd 18:51,Cory Sarich,TBL,Ruslan Fedotenko,PHI,Voted winner: Draw (50%) - Voted rating: 0
12/28/00,2 Pd 18:23,Wayne Primeau,TBL,Luke Richardson,PHI,Voted winner: Draw (50%) - Voted rating: 0
12/28/00,2 Pd 9:34,Reed Low,STL,Stu Grimson,LAK,Voted winner: Stu Grimson (46.7%) - Voted rating: 5.07
12/28/00,3 Pd 18:11,Reid Simpson,STL,Stu Grimson,LAK,Voted winner: Stu Grimson (98.5%) - Voted rating: 7.27
12/28/00,1 Pd 10:11,Brad Brown,NYR,Jeff Odgers,ATL,Voted winner: Draw (50%) - Voted rating: 0
12/28/00,1 Pd 5:1,Bryan Marchment,SJS,Ethan Moreau,EDM,Voted winner: Draw (50%) - Voted rating: 0
12/28/00,1 Pd 5:1,Owen Nolan,SJS,Sean Brown,EDM,Voted winner: Draw (50%) - Voted rating: 4
12/28/00,1 Pd 12:28,Jamal Mayers,STL,Ian Laperriere,LAK,Voted winner: Jamal Mayers (83.3%) - Voted rating: 6.67
12/28/00,1 Pd 12:52,Bryan Marchment,SJS,Doug Weight,EDM,Voted winner: Doug Weight (100%) - Voted rating: 3.5
12/27/00,3 Pd 17:30,Serge Payer,FLA,Daymond Langkow,PHI,Voted winner: Draw (50%) - Voted rating: 0
12/27/00,1 Pd 11:24,Rob DiMaio,CAR,Rich Pilon,NYR,Voted winner: Draw (50%) - Voted rating: 0
12/27/00,3 Pd 4:49,Jiri Slegr,PIT,Tie Domi,TOR,Voted winner: Tie Domi (100%) - Voted rating: 7
12/27/00,3 Pd 15:58,Peter Worrell,FLA,Luke Richardson,PHI,Voted winner: Peter Worrell (100%) - Voted rating: 5
12/27/00,2 Pd 10:34,Peter Worrell,FLA,Keith Primeau,PHI,Voted winner: Draw (50%) - Voted rating: 0
12/27/00,3 Pd 15:58,Len Barrie,FLA,Ruslan Fedotenko,PHI,Voted winner: Draw (50%) - Voted rating: 0
12/27/00,4 Pd 1:49,Colin White,NJD,Jamie Pushor,CBJ,Voted winner: Draw (50%) - Voted rating: 0
12/26/00,2 Pd 2:10,Kelly Buchberger,LAK,Bryan Marchment,SJS,Voted winner: Bryan Marchment (50%) - Voted rating: 4
12/26/00,1 Pd 11:6,Ian Laperriere,LAK,Shawn Heins,SJS,Voted winner: Ian Laperriere (100%) - Voted rating: 6
12/23/00,3 Pd 18:45,Michal Rozsival,PIT,Brenden Morrow,DAL,Voted winner: Draw (50%) - Voted rating: 0
12/23/00,1 Pd 12:39,Adam Deadmarsh,COL,Ed Jovanovski,VAN,Voted winner: Ed Jovanovski (100%) - Voted rating: 6.5
12/23/00,2 Pd 3:13,Gino Odjick,MON,Tie Domi,TOR,Voted winner: Gino Odjick (50%) - Voted rating: 4.75
12/23/00,3 Pd 9:6,Greg de Vries,COL,Denis Pederson,VAN,Voted winner: Greg de Vries (100%) - Voted rating: 7
12/23/00,1 Pd 12:28,Chris Dingman,COL,Jason Strudwick,VAN,Voted winner: Draw (50%) - Voted rating: 0
12/23/00,1 Pd 2:20,Scott Parker,COL,Donald Brashear,VAN,Voted winner: Donald Brashear (100%) - Voted rating: 6
12/23/00,3 Pd 13:14,Sheldon Souray,MON,Dave Manson,TOR,Voted winner: Draw (50%) - Voted rating: 3
12/23/00,1 Pd 14:5,Todd Fedoruk,PHI,Darren Langdon,CAR,Voted winner: Draw (50%) - Voted rating: 7
12/22/00,2 Pd 3:25,Louie Debrusk,ARI,Jeff Odgers,ATL,Voted winner: Draw (50%) - Voted rating: 0
12/22/00,2 Pd 6:17,Matt Johnson,MIN,Stu Grimson,LAK,Voted winner: Draw (50%) - Voted rating: 4
12/22/00,1 Pd 2:1,Denis Gauthier,CAL,Danny Cleary,EDM,Voted winner: Draw (50%) - Voted rating: 0
12/21/00,2 Pd 12:30,Ken Belanger,BOS,Tie Domi,TOR,Voted winner: Tie Domi (33.3%) - Voted rating: 8
12/21/00,3 Pd 18:20,Bill Guerin,BOS,Darcy Tucker,TOR,Voted winner: Draw (50%) - Voted rating: 0
12/21/00,2 Pd 12:4,Andrei Nazarov,BOS,Dave Manson,TOR,Voted winner: Andrei Nazarov (100%) - Voted rating: 3
12/21/00,1 Pd 9:8,Jamie Pushor,CBJ,Andre Roy,OTT,Voted winner: Draw (50%) - Voted rating: 0
12/21/00,2 Pd 5:54,Chris McAllister,PHI,Scott Thornton,SJS,Voted winner: Draw (50%) - Voted rating: 0
12/21/00,2 Pd 4:2,Darren Van Impe,BOS,Tie Domi,TOR,Voted winner: Draw (50%) - Voted rating: 0
12/20/00,3 Pd 18:34,Brad Brown,NYR,Tyson Nash,STL,Voted winner: Brad Brown (100%) - Voted rating: 3
12/20/00,1 Pd 19:0,Peter Worrell,FLA,Matthew Barnaby,PIT,Voted winner: Peter Worrell (100%) - Voted rating: 5
12/20/00,2 Pd 13:55,Brad Brown,NYR,Reed Low,STL,Voted winner: Brad Brown (100%) - Voted rating: 7.5
12/20/00,3 Pd 7:27,Jason Smith,EDM,Trent Klatt,VAN,Voted winner: Draw (50%) - Voted rating: 0
12/19/00,1 Pd 17:53,Scott Thomas,LAK,Chris Tamer,ATL,Voted winner: Draw (50%) - Voted rating: 0
12/19/00,3 Pd 0:29,Kelly Buchberger,LAK,Adam Burt,ATL,Voted winner: Draw (50%) - Voted rating: 0
12/18/00,2 Pd 17:39,Gino Odjick,MON,Jean-Luc Grand-Pierre,CBJ,Voted winner: Draw (50%) - Voted rating: 0
12/17/00,1 Pd 10:8,Jim Dowd,MIN,Jamie Langenbrunner,DAL,Voted winner: Draw (50%) - Voted rating: 1
12/16/00,1 Pd 6:10,Brantt Myhres,NSH,Jamie Allison,CHI,Voted winner: Draw (50%) - Voted rating: 0
12/16/00,1 Pd 3:8,Stu Grimson,LAK,Kyle Freadrich,TBL,Voted winner: Draw (50%) - Voted rating: 0
12/16/00,1 Pd 5:9,Denis Pederson,VAN,Kevin Dineen,CBJ,Voted winner: Draw (50%) - Voted rating: 0
12/16/00,2 Pd 12:24,Andre Roy,OTT,Zdeno Chara,NYI,Voted winner: Draw (50%) - Voted rating: 0
12/16/00,2 Pd 0:17,Chris Phillips,OTT,Dave Scatchard,NYI,Voted winner: Draw (50%) - Voted rating: 0
12/16/00,3 Pd 18:0,Luke Richardson,PHI,Scott Stevens,NJD,Voted winner: Scott Stevens (100%) - Voted rating: 6.67
12/16/00,2 Pd 19:29,Rob Ray,BUF,Peter Worrell,FLA,Voted winner: Peter Worrell (100%) - Voted rating: 7.33
12/16/00,2 Pd 17:26,Chris Therien,PHI,Colin White,NJD,Voted winner: Colin White (100%) - Voted rating: 4
12/16/00,2 Pd 17:26,Rick Tocchet,PHI,Randy McKay,NJD,Voted winner: Randy McKay (50%) - Voted rating: 4
12/16/00,3 Pd 17:20,Chris McAllister,PHI,Randy McKay,NJD,Voted winner: Chris McAllister (100%) - Voted rating: 4
12/16/00,2 Pd 0:41,Jamal Mayers,STL,Todd Gill,DET,Voted winner: Todd Gill (100%) - Voted rating: 5
12/15/00,2 Pd 5:4,Denny Lambert,ATL,Reed Low,STL,Voted winner: Reed Low (50%) - Voted rating: 6
12/15/00,2 Pd 12:38,Bill Muckalt,NYI,Gary Roberts,TOR,Voted winner: Gary Roberts (100%) - Voted rating: 6
12/15/00,3 Pd 20:0,Mark Lawrence,NYI,Darcy Tucker,TOR,Voted winner: Mark Lawrence (100%) - Voted rating: 6
12/15/00,3 Pd 14:36,Michal Rozsival,PIT,Olli Jokinen,FLA,Voted winner: Draw (50%) - Voted rating: 2
12/15/00,3 Pd 10:44,Grant Marshall,DAL,Jamie Allison,CHI,Voted winner: Draw (50%) - Voted rating: 0
12/15/00,1 Pd 16:27,Jeff Odgers,ATL,Reid Simpson,STL,Voted winner: Draw (50%) - Voted rating: 3
12/15/00,3 Pd 17:51,Sami Helenius,DAL,Ryan VandenBussche,CHI,Voted winner: Sami Helenius (100%) - Voted rating: 8
12/15/00,1 Pd 19:7,Jim Cummins,ANA,Dale Purinton,NYR,Voted winner: Jim Cummins (100%) - Voted rating: 6.67
12/14/00,3 Pd 10:1,Scott Walker,NSH,Sean Brown,EDM,Voted winner: Draw (50%) - Voted rating: 0
12/14/00,1 Pd 11:55,Andre Roy,OTT,Jeff Cowan,CAL,Voted winner: Draw (50%) - Voted rating: 0
12/13/00,2 Pd 10:59,Denny Lambert,ATL,Mark Janssens,CHI,Voted winner: Draw (50%) - Voted rating: 5
12/13/00,1 Pd 6:31,Matthew Barnaby,PIT,Bryan McCabe,TOR,Voted winner: Bryan McCabe (50%) - Voted rating: 6.5
12/13/00,2 Pd 18:59,Trevor Linden,MON,Bill Lindsay,CAL,Voted winner: Draw (50%) - Voted rating: 0
12/12/00,3 Pd 8:17,Andrei Nazarov,BOS,Eric Boulton,BUF,Voted winner: Draw (50%) - Voted rating: 1
12/10/00,2 Pd 3:30,Bob Probert,CHI,Reid Simpson,STL,Voted winner: Bob Probert (100%) - Voted rating: 6.5
12/10/00,1 Pd 12:44,Stephane Quintal,CHI,Reid Simpson,STL,Voted winner: Stephane Quintal (100%) - Voted rating: 4
12/09/00,3 Pd 12:9,Robyn Regehr,CAL,Josef Vasicek,CAR,Voted winner: Draw (50%) - Voted rating: 0
12/09/00,2 Pd 10:22,Jarome Iginla,CAL,Rod Brind'Amour,CAR,Voted winner: Draw (50%) - Voted rating: 0
12/08/00,1 Pd 4:4,Kyle Freadrich,TBL,Scott Parker,COL,Voted winner: Scott Parker (75%) - Voted rating: 6.75
12/08/00,1 Pd 1:24,Jeff Odgers,ATL,Peter Worrell,FLA,Voted winner: Peter Worrell (100%) - Voted rating: 5
12/08/00,3 Pd 19:30,Alex Korolyuk,SJS,Matt Cooke,VAN,Voted winner: Draw (50%) - Voted rating: 6
12/08/00,1 Pd 2:17,Gordie Dwyer,TBL,Nolan Pratt,COL,Voted winner: Draw (50%) - Voted rating: 5.5
12/08/00,1 Pd 6:46,Kevin Dineen,CBJ,Joe Thornton,BOS,Voted winner: Joe Thornton (100%) - Voted rating: 6
12/07/00,1 Pd 2:7,Bob Probert,CHI,Steve McKenna,MIN,Voted winner: Bob Probert (75%) - Voted rating: 4
12/07/00,1 Pd 16:40,Jeff Cowan,CAL,Drake Berehowsky,NSH,Voted winner: Draw (50%) - Voted rating: 0
12/07/00,2 Pd 8:55,Ryan VandenBussche,CHI,Steve McKenna,MIN,Voted winner: Draw (50%) - Voted rating: 1
12/06/00,1 Pd 12:55,Scott Mellanby,FLA,Kevin Haller,NYI,Voted winner: Draw (50%) - Voted rating: 0
12/06/00,1 Pd 12:31,Martin Lapointe,DET,Dave Manson,TOR,Voted winner: Dave Manson (50%) - Voted rating: 7
12/06/00,1 Pd 19:12,Peter Worrell,FLA,Zdeno Chara,NYI,Voted winner: Draw (50%) - Voted rating: 4
12/06/00,2 Pd 17:9,Mark Recchi,PHI,Petr Svoboda,TBL,Voted winner: Draw (50%) - Voted rating: 2
12/06/00,1 Pd 19:59,Brendan Shanahan,DET,Bryan McCabe,TOR,Voted winner: Draw (50%) - Voted rating: 0
12/05/00,3 Pd 4:55,Pascal Rheaume,STL,Jason Marshall,ANA,Voted winner: Pascal Rheaume (100%) - Voted rating: 5
12/05/00,2 Pd 18:13,Jim McKenzie,NJD,Scott Parker,COL,Voted winner: Draw (50%) - Voted rating: 0
12/05/00,1 Pd 12:41,Shane Hnidy,OTT,Rene Corbet,PIT,Voted winner: Shane Hnidy (100%) - Voted rating: 5
12/04/00,1 Pd 1:16,Denny Lambert,ATL,Hal Gill,BOS,Voted winner: Draw (50%) - Voted rating: 6
12/04/00,1 Pd 12:3,Jeff Odgers,ATL,Andrei Nazarov,BOS,Voted winner: Draw (50%) - Voted rating: 0
12/04/00,3 Pd 16:38,Wade Belak,CAL,Shawn Heins,SJS,Voted winner: Draw (50%) - Voted rating: 3
12/04/00,1 Pd 1:23,Shayne Corson,TOR,Todd Simpson,FLA,Voted winner: Draw (50%) - Voted rating: 8
12/04/00,3 Pd 15:53,Jason Wiemer,CAL,Owen Nolan,SJS,Voted winner: Owen Nolan (100%) - Voted rating: 5
12/03/00,2 Pd 3:29,Jason Smith,EDM,Todd Harvey,SJS,Voted winner: Draw (50%) - Voted rating: 8
12/03/00,2 Pd 14:35,Bob Probert,CHI,Lyle Odelein,CBJ,Voted winner: Draw (50%) - Voted rating: 4
12/03/00,3 Pd 11:4,Jim Cummins,ANA,Stu Grimson,LAK,Voted winner: Draw (50%) - Voted rating: 0
12/03/00,2 Pd 3:37,Dale Purinton,NYR,Scott Parker,COL,Voted winner: Scott Parker (100%) - Voted rating: 5
12/03/00,3 Pd 18:5,Bob Probert,CHI,Jamie Pushor,CBJ,Voted winner: Bob Probert (100%) - Voted rating: 4.5
12/02/00,2 Pd 14:49,Landon Wilson,ARI,Darryl Sydor,DAL,Voted winner: Draw (50%) - Voted rating: 0
12/02/00,2 Pd 11:38,Kevin Dineen,CBJ,Chris Tamer,ATL,Voted winner: Draw (50%) - Voted rating: 0
12/02/00,2 Pd 10:37,Louie Debrusk,ARI,Derian Hatcher,DAL,Voted winner: Draw (50%) - Voted rating: 3
12/02/00,1 Pd 19:53,Louie Debrusk,ARI,Derian Hatcher,DAL,Voted winner: Louie Debrusk (100%) - Voted rating: 5
12/02/00,2 Pd 3:4,Gordie Dwyer,TBL,Darren McCarty,DET,Voted winner: Darren McCarty (100%) - Voted rating: 6
12/02/00,1 Pd 15:4,Wade Redden,OTT,Keith Primeau,PHI,Voted winner: Keith Primeau (100%) - Voted rating: 8
12/02/00,1 Pd 7:47,Ken Belanger,BOS,Craig Berube,WAS,Voted winner: Ken Belanger (100%) - Voted rating: 5
12/02/00,2 Pd 15:50,Shayne Corson,TOR,Dale Purinton,NYR,Voted winner: Draw (50%) - Voted rating: 0
12/01/00,1 Pd 9:14,Brantt Myhres,NSH,Ryan VandenBussche,CHI,Voted winner: Brantt Myhres (100%) - Voted rating: 6.33
12/01/00,1 Pd 20:0,Steve Konowalchuk,WAS,Jason Allison,BOS,Voted winner: Draw (50%) - Voted rating: 0
11/30/00,1 Pd 5:26,Kevin Haller,NYI,Darcy Tucker,TOR,Voted winner: Draw (50%) - Voted rating: 0
11/29/00,2 Pd 3:8,Jamie Heward,CBJ,Kent Manderville,PHI,Voted winner: Draw (50%) - Voted rating: 0
11/29/00,1 Pd 2:56,Turner Stevenson,NJD,Dale Purinton,NYR,Voted winner: Draw (50%) - Voted rating: 0
11/29/00,2 Pd 10:3,Jim McKenzie,NJD,Sandy McCarthy,NYR,Voted winner: Jim McKenzie (100%) - Voted rating: 8
11/29/00,2 Pd 14:18,Tie Domi,TOR,Reed Low,STL,Voted winner: Reed Low (50%) - Voted rating: 7.5
11/28/00,1 Pd 15:8,Dale Purinton,NYR,Stu Grimson,LAK,Voted winner: Stu Grimson (33.3%) - Voted rating: 7
11/28/00,2 Pd 18:34,Dixon Ward,BOS,Rene Corbet,PIT,Voted winner: Draw (50%) - Voted rating: 0
