,Game,Team,TOI,CF,CA,CF%,FF,FA,FF%,SF,SA,SF%,GF,GA,GF%,xGF,xGA,xGF%,SCF,SCA,SCF%,SCGF,SCGA,SCGF%,HDCF,HDCA,HDCF%,HDGF,HDGA,HDGF%,MDCF,MDCA,MDCF%,MDGF,MDGA,MDGF%,LDCF,LDCA,LDCF%,LDGF,LDGA,LDGF%,On-Ice SH%,On-Ice SV%,PDO,Off. Zone Starts,Neu. Zone Starts,Def. Zone Starts,On The Fly Starts,Off. Zone Start %,Off. Zone Faceoffs,Neu. Zone Faceoffs,Def. Zone Faceoffs,Off. Zone Faceoff %,id,fullName
23,2021-03-07 FLA at CAR,FLA,57.4,39,54,41.94,30,40,42.86,19,26,42.22,2,4,33.33,1.61,2.48,39.36,15,27,35.71,1,3,25.00,9,10,47.37,0,2,0.00,6,17,26.09,1,1,50.00,19,26,42.22,1,1,50.00,10.53,84.62,0.951,1,4,0,0,100.00,25,20,20,55.56,8473575,Semyon Varlamov
24,2021-03-20 NSH at FLA,FLA,59.483333333333,75,42,64.1,54,32,62.79,48,21,69.57,2,0,100.0,5.07,1.36,78.81,36,17,67.92,2,0,100.00,19,6,76.0,2,0,100.00,17,11,60.71,0,0,-,36,21,63.16,0,0,-,4.17,100.0,1.042,2,3,0,0,100.00,25,9,18,58.14,8473575,Semyon Varlamov
25,2021-03-23 FLA at CHI,FLA,58.4,54,57,48.65,36,41,46.75,30,32,48.39,1,3,25.0,2.5,2.99,45.56,27,34,44.26,1,3,25.00,9,14,39.13,1,3,25.00,18,20,47.37,0,0,-,22,20,52.38,0,0,-,3.33,90.63,0.94,1,4,1,0,50.00,20,21,24,45.45,8473575,Semyon Varlamov
26,2021-03-28 FLA at DAL,FLA,59.666666666667,45,61,42.45,33,44,42.86,22,34,39.29,3,1,75.0,3.73,2.83,56.87,22,28,44.0,3,1,75.00,9,13,40.91,0,0,-,13,15,46.43,3,1,75.00,17,29,36.96,0,0,-,13.64,97.06,1.107,1,3,0,0,100.00,19,16,26,42.22,8473575,Semyon Varlamov
27,2021-04-01 DET at FLA,FLA,61.416666666667,58,50,53.7,49,35,58.33,36,27,57.14,3,2,60.0,2.91,1.61,64.41,23,17,57.5,2,1,66.67,10,5,66.67,1,1,50.00,13,12,52.0,1,0,100.00,31,26,54.39,1,1,50.00,8.33,92.59,1.009,0,4,0,0,-,23,21,22,51.11,8473575,Semyon Varlamov
28,2021-04-04 CBJ at FLA,FLA,60.0,57,58,49.57,42,40,51.22,35,32,52.24,3,0,100.0,2.47,2.13,53.71,23,20,53.49,1,0,100.00,8,8,50.0,1,0,100.00,15,12,55.56,0,0,-,30,30,50.0,2,0,100.00,8.57,100.0,1.086,0,3,0,0,-,20,17,21,48.78,8473575,Semyon Varlamov
29,2021-04-08 FLA at CAR,FLA,59.366666666667,44,47,48.35,35,39,47.3,24,21,53.33,0,2,0.0,2.45,3.55,40.88,25,29,46.3,0,2,0.00,15,15,50.0,0,1,0.00,10,14,41.67,0,1,0.00,17,17,50.0,0,0,-,0.0,90.48,0.905,0,4,0,0,-,23,21,16,58.97,8473575,Semyon Varlamov
30,2021-04-13 FLA at DAL,FLA,63.15,62,55,52.99,47,41,53.41,31,26,54.39,3,2,60.0,2.59,2.94,46.88,26,32,44.83,1,2,33.33,7,17,29.17,1,2,33.33,19,15,55.88,0,0,-,33,18,64.71,2,0,100.00,9.68,92.31,1.02,0,4,0,0,-,35,19,26,57.38,8473575,Semyon Varlamov
31,2021-04-15 FLA at T.B,FLA,60.8,51,41,55.43,44,30,59.46,38,19,66.67,2,3,40.0,2.33,1.21,65.81,23,18,56.1,2,2,50.00,13,4,76.47,1,1,50.00,10,14,41.67,1,1,50.00,23,21,52.27,0,1,0.00,5.26,84.21,0.895,1,4,0,0,100.00,22,14,17,56.41,8473575,Semyon Varlamov
32,2021-04-24 CAR at FLA,FLA,59.966666666667,62,41,60.19,47,28,62.67,34,19,64.15,4,3,57.14,3.43,1.54,69.02,32,16,66.67,4,0,100.00,12,4,75.0,1,0,100.00,20,12,62.5,3,0,100.00,28,21,57.14,0,1,0.00,11.76,84.21,0.96,1,4,0,0,100.00,23,26,15,60.53,8473575,Semyon Varlamov
33,2021-04-26 FLA at NSH,FLA,34.766666666667,39,25,60.94,33,22,60.0,24,16,60.0,0,2,0.0,2.55,1.71,59.81,28,18,60.87,0,2,0.00,13,7,65.0,0,2,0.00,15,11,57.69,0,0,-,9,7,56.25,0,0,-,0.0,87.5,0.875,0,3,0,0,-,17,8,6,73.91,8473575,Semyon Varlamov
34,2021-05-10 T.B at FLA,FLA,60.0,46,51,47.42,35,39,47.3,30,30,50.0,4,0,100.0,2.11,2.59,44.94,17,17,50.0,4,0,100.00,5,6,45.45,2,0,100.00,12,11,52.17,2,0,100.00,25,28,47.17,0,0,-,13.33,100.0,1.133,0,3,0,0,-,14,19,24,36.84,8473575,Semyon Varlamov
0,2019-10-03 CGY at COL,COL,59.866666666667,59,60,49.58,44,45,49.44,31,30,50.82,5,3,62.5,3.85,2.85,57.5,33,24,57.89,4,2,66.67,14,12,53.85,1,1,50.00,19,12,61.29,3,1,75.00,21,28,42.86,1,1,50.00,16.13,90.0,1.061,2,3,0,0,100.00,28,16,25,52.83,8473575,Semyon Varlamov
1,2019-10-05 MIN at COL,COL,60.0,56,50,52.83,42,38,52.5,32,31,50.79,4,2,66.67,3.2,2.04,61.09,26,20,56.52,3,2,60.00,9,9,50.0,2,1,66.67,17,11,60.71,1,1,50.00,28,27,50.91,0,0,-,12.5,93.55,1.06,0,3,0,0,-,21,14,24,46.67,8473575,Semyon Varlamov
2,2019-10-10 BOS at COL,COL,60.0,59,59,50.0,46,48,48.94,36,41,46.75,4,2,66.67,3.17,2.29,58.09,28,23,54.9,4,1,80.00,13,10,56.52,2,1,66.67,15,13,53.57,2,0,100.00,28,34,45.16,0,1,0.00,11.11,95.12,1.062,0,3,0,0,-,12,21,28,30.0,8473575,Semyon Varlamov
3,2019-10-14 COL at WSH,COL,59.266666666667,52,61,46.02,33,45,42.31,24,32,42.86,6,3,66.67,2.39,2.85,45.64,22,27,44.9,5,2,71.43,8,8,50.0,3,2,60.00,14,19,42.42,2,0,100.00,25,27,48.08,1,1,50.00,25.0,90.63,1.156,2,3,0,0,100.00,16,21,29,35.56,8473575,Semyon Varlamov
4,2019-10-16 COL at PIT,COL,63.95,57,60,48.72,40,47,45.98,28,33,45.9,2,3,40.0,2.18,2.97,42.3,30,33,47.62,2,3,40.00,10,14,41.67,1,3,25.00,20,19,51.28,1,0,100.00,23,24,48.94,0,0,-,7.14,90.91,0.981,0,4,0,0,-,25,23,21,54.35,8473575,Semyon Varlamov
5,2019-10-18 COL at FLA,COL,63.05,61,62,49.59,52,49,51.49,41,44,48.24,5,4,55.56,3.24,3.24,50.02,31,38,44.93,5,3,62.50,11,15,42.31,2,2,50.00,20,23,46.51,3,1,75.00,24,22,52.17,0,1,0.00,12.2,90.91,1.031,0,4,0,0,-,19,24,13,59.38,8473575,Semyon Varlamov
6,2019-10-21 COL at STL,COL,59.633333333333,38,46,45.24,24,35,40.68,17,25,40.48,1,3,25.0,2.16,1.95,52.57,17,25,40.48,0,1,0.00,11,9,55.0,0,0,-,6,16,27.27,0,1,0.00,17,17,50.0,1,2,33.33,5.88,88.0,0.939,1,3,2,0,33.33,17,16,26,39.53,8473575,Semyon Varlamov
7,2019-10-25 COL at VGK,COL,60.0,70,50,58.33,50,36,58.14,40,26,60.61,6,1,85.71,2.45,1.86,56.9,27,20,57.45,5,1,83.33,7,8,46.67,1,0,100.00,20,12,62.5,4,1,80.00,35,22,61.4,1,0,100.00,15.0,96.15,1.112,0,3,0,0,-,15,13,14,51.72,8473575,Semyon Varlamov
8,2019-10-30 FLA at COL,COL,60.483333333333,47,60,43.93,40,48,45.45,29,38,43.28,3,4,42.86,3.11,3.15,49.64,27,31,46.55,2,3,40.00,13,10,56.52,2,2,50.00,14,21,40.0,0,1,0.00,18,26,40.91,1,1,50.00,10.34,89.47,0.998,0,4,0,0,-,16,19,24,40.0,8473575,Semyon Varlamov
