,fullName,id,position,position_code
635,Erik Karlsson,8474578,Defenseman,D
636,Jaycob Megna,8477034,Defenseman,D
637,Kevin Labanc,8478099,Right Wing,R
638,Adin Hill,8478499,Goalie,G
639,Rudolfs Balcers,8478870,Left Wing,L
640,Mario Ferraro,8479983,Defenseman,D
641,Brent Burns,8470613,Defenseman,D
642,Andrew Cogliano,8471699,Center,C
643,Marc-Edouard Vlasic,8471709,Defenseman,D
644,Alex Stalock,8471774,Goalie,G
645,James Reimer,8473503,Goalie,G
646,Nick Bonino,8474009,Center,C
647,Logan Couture,8474053,Center,C
648,Ryan Dzingel,8476288,Center,C
649,Matt Nieto,8476442,Left Wing,L
650,Tomas Hertl,8476881,Center,C
651,Jacob Middleton,8478136,Defenseman,D
652,Timo Meier,8478414,Right Wing,R
653,Nicolas Meloche,8478467,Defenseman,D
654,Zach Sawchenko,8479313,Goalie,G
655,Jonathan Dahlen,8479373,Center,C
656,Noah Gregor,8479393,Center,C
657,Jeffrey Viel,8479705,Left Wing,L
658,Jonah Gadjovich,8479981,Left Wing,L
659,Scott Reedy,8480060,Center,C
660,Radim Simek,8480160,Defenseman,D
661,Ryan Merkley,8480847,Defenseman,D
662,Jasper Weatherby,8481061,Center,C
663,Alexander Barabanov,8482222,Left Wing,L
664,Joonas Korpisalo,8476914,Goalie,G
665,Jake Bean,8479402,Defenseman,D
666,Alexandre Texier,8480074,Center,C
667,Daniil Tarasov,8480193,Goalie,G
668,Eric Robinson,8480762,Left Wing,L
669,Jakub Voracek,8474161,Right Wing,R
670,Gustav Nyquist,8474679,Center,C
671,J-F Berube,8475234,Goalie,G
672,Sean Kuraly,8476374,Center,C
673,Boone Jenner,8476432,Center,C
674,Brendan Gaunce,8476867,Center,C
675,Oliver Bjorkstrand,8477416,Right Wing,R
676,Max Domi,8477503,Center,C
677,Elvis Merzlikins,8478007,Goalie,G
678,Jack Roslovic,8478458,Center,C
679,Zach Werenski,8478460,Defenseman,D
680,Gabriel Carlsson,8478506,Defenseman,D
681,Dean Kukan,8478567,Defenseman,D
682,Vladislav Gavrikov,8478882,Defenseman,D
683,Patrik Laine,8479339,Left Wing,L
684,Andrew Peeke,8479369,Defenseman,D
685,Justin Danforth,8479941,Right Wing,R
686,Gavin Bayreuther,8479945,Defenseman,D
687,Emil Bemstrom,8480205,Center,C
688,Adam Boqvist,8480871,Defenseman,D
689,Jake Christiansen,8481161,Defenseman,D
690,Yegor Chinakhov,8482475,Right Wing,R
691,Cole Sillinger,8482705,Center,C
692,Matt Dumba,8476856,Defenseman,D
693,Alex Goligoski,8471274,Defenseman,D
694,Jared Spurgeon,8474716,Defenseman,D
695,Jordie Benn,8474818,Defenseman,D
696,Dmitry Kulikov,8475179,Defenseman,D
697,Marcus Foligno,8475220,Left Wing,L
698,Cam Talbot,8475660,Goalie,G
699,Mats Zuccarello,8475692,Right Wing,R
700,Jon Merrill,8475750,Defenseman,D
701,Nick Bjugstad,8475760,Center,C
702,Jonas Brodin,8476463,Defenseman,D
703,Ryan Hartman,8477451,Right Wing,R
704,Frederick Gaudreau,8477919,Center,C
705,Kevin Fiala,8477942,Left Wing,L
706,Kaapo Kahkonen,8478039,Goalie,G
707,Jordan Greenway,8478413,Left Wing,L
708,Joel Eriksson Ek,8478493,Center,C
709,Kirill Kaprizov,8478864,Left Wing,L
710,Brandon Duhaime,8479520,Right Wing,R
711,Mason Shaw,8479972,Center,C
712,Calen Addison,8480884,Defenseman,D
713,Connor Dewar,8480980,Center,C
714,Nico Sturm,8481477,Center,C
715,Matt Boldy,8481557,Left Wing,L
716,Bryan Little,8473412,Center,C
717,Nikolaj Ehlers,8477940,Left Wing,L
718,Kristian Reichel,8480443,Center,C
719,Cole Perfetti,8482149,Center,C
720,Nelson Nogier,8478031,Defenseman,D
721,CJ Suess,8478058,Left Wing,L
722,Dylan Samberg,8480049,Defenseman,D
723,Ville Heinola,8481572,Defenseman,D
724,Blake Wheeler,8471218,Right Wing,R
725,Paul Stastny,8471669,Center,C
726,Brenden Dillon,8475455,Defenseman,D
727,Dylan DeMelo,8476331,Defenseman,D
728,Adam Lowry,8476392,Center,C
729,Mark Scheifele,8476460,Center,C
730,Nathan Beaulieu,8476470,Defenseman,D
731,Connor Hellebuyck,8476945,Goalie,G
732,Dominic Toninato,8476952,Center,C
733,Nate Schmidt,8477220,Defenseman,D
734,Andrew Copp,8477429,Center,C
735,Eric Comrie,8477480,Goalie,G
736,Josh Morrissey,8477504,Defenseman,D
737,Austin Poganski,8478040,Right Wing,R
738,Kyle Connor,8478398,Left Wing,L
739,Jansen Harkins,8478424,Center,C
740,Evgeny Svechnikov,8478431,Left Wing,L
741,Adam Brooks,8478996,Center,C
742,Logan Stanley,8479378,Defenseman,D
743,Pierre-Luc Dubois,8479400,Left Wing,L
744,Kristian Vesalainen,8480005,Left Wing,L
745,Neal Pionk,8480145,Defenseman,D
746,Andrew Ladd,8471217,Left Wing,L
747,Jay Beagle,8474291,Center,C
748,Johan Larsson,8475728,Left Wing,L
749,Dmitrij Jaskin,8476436,Right Wing,R
750,Conor Timmins,8479982,Defenseman,D
751,Loui Eriksson,8470626,Left Wing,L
752,Anton Stralman,8471873,Defenseman,D
753,Phil Kessel,8473548,Right Wing,R
754,Riley Nash,8474062,Center,C
755,Antoine Roussel,8474849,Left Wing,L
756,Scott Wedgewood,8475809,Goalie,G
757,Travis Boyd,8476329,Center,C
758,Alex Galchenyuk,8476851,Center,C
759,Shayne Gostisbehere,8476906,Defenseman,D
760,Liam O'Brien,8477070,Center,C
761,Nick Ritchie,8477941,Left Wing,L
762,Nick Schmaltz,8477951,Center,C
763,Dysin Mayo,8478062,Defenseman,D
764,Christian Fischer,8478432,Right Wing,R
765,Lawson Crouse,8478474,Left Wing,L
766,Kyle Capobianco,8478476,Defenseman,D
767,Karel Vejmelka,8478872,Goalie,G
768,Clayton Keller,8479343,Right Wing,R
769,Jakob Chychrun,8479345,Defenseman,D
770,Barrett Hayton,8480849,Center,C
771,Vladislav Kolyachonok,8481609,Defenseman,D
772,Matias Maccelli,8481711,Left Wing,L
773,J.J. Moser,8482655,Defenseman,D
774,Alec Martinez,8474166,Defenseman,D
775,Mark Stone,8475913,Right Wing,R
776,Mattias Janmark,8477406,Center,C
777,Nolan Patrick,8479974,Center,C
778,Evgenii Dadonov,8474149,Right Wing,R
779,Max Pacioretty,8474157,Left Wing,L
780,Alex Pietrangelo,8474565,Defenseman,D
781,Brayden McNabb,8475188,Defenseman,D
782,Reilly Smith,8475191,Right Wing,R
783,Robin Lehner,8475215,Goalie,G
784,Laurent Brossoit,8476316,Goalie,G
785,William Karlsson,8476448,Center,C
786,Jonathan Marchessault,8476539,Center,C
787,Chandler Stephenson,8476905,Center,C
788,Ben Hutton,8477018,Defenseman,D
789,Shea Theodore,8477447,Defenseman,D
790,William Carrier,8477478,Left Wing,L
791,Michael Amadio,8478020,Center,C
792,Jack Eichel,8478403,Center,C
793,Keegan Kolesar,8478434,Right Wing,R
794,Nicolas Roy,8478462,Center,C
795,Brett Howden,8479353,Center,C
796,Dylan Coghlan,8479639,Defenseman,D
797,Nicolas Hague,8479980,Defenseman,D
798,Zach Whitecloud,8480727,Defenseman,D
799,Jaden Schwartz,8475768,Center,C
800,Jared McCann,8477955,Left Wing,L
801,Brandon Tanev,8479293,Left Wing,L
802,Karson Kuhlman,8480901,Center,C
803,Mark Giordano,8470966,Defenseman,D
804,Jordan Eberle,8474586,Right Wing,R
805,Marcus Johansson,8475149,Left Wing,L
806,Calle Jarnkrok,8475714,Center,C
807,Riley Sheahan,8475772,Center,C
808,Joonas Donskoi,8475820,Right Wing,R
809,Philipp Grubauer,8475831,Goalie,G
810,Colin Blackwell,8476278,Center,C
811,Adam Larsson,8476457,Defenseman,D
812,Jamie Oleksiak,8476467,Defenseman,D
813,Yanni Gourde,8476826,Center,C
814,Chris Driedger,8476904,Goalie,G
815,Carson Soucy,8477369,Defenseman,D
816,Alex Wennberg,8477505,Center,C
817,Haydn Fleury,8477938,Defenseman,D
818,Ryan Donato,8477987,Center,C
819,Vince Dunn,8478407,Defenseman,D
820,Jeremy Lauzon,8478468,Defenseman,D
821,Austin Czarnik,8478512,Center,C
822,Will Borgen,8478840,Defenseman,D
823,Mason Appleton,8478891,Center,C
824,Morgan Geekie,8479987,Center,C
