,fullName,id,position,position_code
238,Erik Brannstrom,8480073,Defenseman,D
239,Parker Kelly,8480448,Left Wing,L
240,Brady Tkachuk,8480801,Left Wing,L
241,Tim Stützle,8482116,Left Wing,L
242,Artem Zub,8482245,Defenseman,D
243,Jake Muzzin,8474162,Defenseman,D
244,Jason Spezza,8469455,Center,C
245,Wayne Simmonds,8474190,Right Wing,R
246,TJ Brodie,8474673,Defenseman,D
247,Kyle Clifford,8475160,Left Wing,L
248,John Tavares,8475166,Center,C
249,Justin Holl,8475718,Defenseman,D
250,Jack Campbell,8475789,Goalie,G
251,Petr Mrazek,8475852,Goalie,G
252,Morgan Rielly,8476853,Defenseman,D
253,Alexander Kerfoot,8477021,Center,C
254,William Nylander,8477939,Right Wing,R
255,Michael Bunting,8478047,Left Wing,L
256,Pierre Engvall,8478115,Left Wing,L
257,Ondrej Kase,8478131,Right Wing,R
258,Travis Dermott,8478408,Defenseman,D
259,Mitchell Marner,8478483,Right Wing,R
260,Auston Matthews,8479318,Center,C
261,Timothy Liljegren,8480043,Defenseman,D
262,David Kampf,8480144,Center,C
263,Rasmus Sandin,8480873,Defenseman,D
264,Ilya Lyubushkin,8480950,Defenseman,D
265,Nicholas Robertson,8481582,Left Wing,L
266,Ilya Mikheyev,8481624,Right Wing,R
267,Jordan Staal,8473533,Center,C
268,Ian Cole,8474013,Defenseman,D
269,Brendan Smith,8474090,Defenseman,D
270,Derek Stepan,8474613,Center,C
271,Nino Niederreiter,8475799,Right Wing,R
272,Jesper Fast,8475855,Right Wing,R
273,Frederik Andersen,8475883,Goalie,G
274,Vincent Trocheck,8476389,Center,C
275,Brady Skjei,8476869,Defenseman,D
276,Teuvo Teravainen,8476882,Left Wing,L
277,Jordan Martinook,8476921,Left Wing,L
278,Jaccob Slavin,8476958,Defenseman,D
279,Antti Raanta,8477293,Goalie,G
280,Brett Pesce,8477488,Defenseman,D
281,Tony DeAngelo,8477950,Defenseman,D
282,Sebastian Aho,8478427,Center,C
283,Ethan Bear,8478451,Defenseman,D
284,Steven Lorentz,8478904,Center,C
285,Jalen Chatfield,8478970,Defenseman,D
286,Martin Necas,8480039,Center,C
287,Jesperi Kotkaniemi,8480829,Center,C
288,Andrei Svechnikov,8480830,Right Wing,R
289,Seth Jarvis,8482093,Center,C
290,Joe Thornton,8466138,Center,C
291,Markus Nutivaara,8478906,Defenseman,D
292,Patric Hornqvist,8471887,Right Wing,R
293,Radko Gudas,8475462,Defenseman,D
294,Sergei Bobrovsky,8475683,Goalie,G
295,Jonathan Huberdeau,8476456,Left Wing,L
296,MacKenzie Weegar,8477346,Defenseman,D
297,Anthony Duclair,8477407,Left Wing,L
298,Carter Verhaeghe,8477409,Center,C
299,Aleksander Barkov,8477493,Center,C
300,Aaron Ekblad,8477932,Defenseman,D
301,Sam Reinhart,8477933,Center,C
302,Sam Bennett,8477935,Center,C
303,Brandon Montour,8477986,Defenseman,D
304,Jonas Johansson,8477992,Goalie,G
305,Gustav Forsling,8478055,Defenseman,D
306,Frank Vatrano,8478366,Center,C
307,Noel Acciari,8478569,Center,C
308,Mason Marchment,8478975,Left Wing,L
309,Ryan Lomberg,8479066,Left Wing,L
310,Olli Juolevi,8479355,Defenseman,D
311,Lucas Carlsson,8479523,Defenseman,D
312,Maxim Mamin,8479553,Center,C
313,Eetu Luostarinen,8480185,Center,C
314,Anton Lundell,8482113,Center,C
315,Zach Bogosian,8474567,Defenseman,D
316,Fredrik Claesson,8476368,Defenseman,D
317,Charles Hudon,8476948,Left Wing,L
318,Daniel Walcott,8478069,Left Wing,L
319,Cole Koepke,8481043,Left Wing,L
320,Corey Perry,8470621,Right Wing,R
321,Brian Elliott,8470880,Goalie,G
322,Alex Killorn,8473986,Left Wing,L
323,Pat Maroon,8474034,Left Wing,L
324,Ryan McDonagh,8474151,Defenseman,D
325,Steven Stamkos,8474564,Center,C
326,Victor Hedman,8475167,Defenseman,D
327,Ondrej Palat,8476292,Left Wing,L
328,Nikita Kucherov,8476453,Right Wing,R
329,Andrei Vasilevskiy,8476883,Goalie,G
330,Andrej Sustr,8477205,Defenseman,D
331,Pierre-Edouard Bellemare,8477930,Left Wing,L
332,Brayden Point,8478010,Center,C
333,Erik Cernak,8478416,Defenseman,D
334,Mathieu Joseph,8478472,Right Wing,R
335,Anthony Cirelli,8478519,Center,C
336,Boris Katchouk,8479383,Left Wing,L
337,Taylor Raddysh,8479390,Right Wing,R
338,Mikhail Sergachev,8479410,Defenseman,D
339,Ross Colton,8479525,Center,C
340,Cal Foote,8479984,Defenseman,D
341,Jan Rutta,8480172,Defenseman,D
342,Carl Hagelin,8474176,Left Wing,L
343,Joe Snively,8481441,Center,C
344,Alex Ovechkin,8471214,Left Wing,L
345,T.J. Oshie,8471698,Right Wing,R
346,Nicklas Backstrom,8473563,Center,C
347,Lars Eller,8474189,Center,C
348,John Carlson,8474590,Defenseman,D
349,Justin Schultz,8474602,Defenseman,D
350,Dmitry Orlov,8475200,Defenseman,D
351,Nick Jensen,8475324,Defenseman,D
352,Nic Dowd,8475343,Center,C
353,Matt Irwin,8475625,Defenseman,D
354,Evgeny Kuznetsov,8475744,Center,C
355,Tom Wilson,8476880,Right Wing,R
356,Conor Sheary,8477839,Left Wing,L
357,Trevor van Riemsdyk,8477845,Defenseman,D
358,Garnet Hathaway,8477903,Right Wing,R
359,Vitek Vanecek,8477970,Goalie,G
360,Daniel Sprong,8478466,Right Wing,R
361,Ilya Samsonov,8478492,Goalie,G
362,Michal Kempny,8479482,Defenseman,D
363,Martin Fehervary,8480796,Defenseman,D
364,Connor McMichael,8481580,Center,C
365,Jujhar Khaira,8476915,Left Wing,L
366,Reese Johnson,8481147,Center,C
367,Marc-Andre Fleury,8470594,Goalie,G
368,Jonathan Toews,8473604,Center,C
369,Patrick Kane,8474141,Right Wing,R
370,Tyler Johnson,8474870,Center,C
371,Calvin de Haan,8475177,Defenseman,D
372,Connor Murphy,8476473,Defenseman,D
373,Jake McCabe,8476931,Defenseman,D
374,Erik Gustafsson,8476979,Defenseman,D
375,Dominik Kubalik,8477330,Left Wing,L
376,Seth Jones,8477495,Defenseman,D
377,Ryan Carpenter,8477846,Center,C
378,Sam Lafferty,8478043,Center,C
379,Dylan Strome,8478440,Center,C
380,Caleb Jones,8478452,Defenseman,D
381,Alex DeBrincat,8479337,Left Wing,L
382,Riley Stillman,8479388,Defenseman,D
383,Henrik Borgstrom,8479404,Center,C
384,Brandon Hagel,8479542,Left Wing,L
385,MacKenzie Entwistle,8480025,Right Wing,R
